"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","Berwick-upon-Tweed","E14000554","Total",75718,3476,2107,1449,3995,825,1687,1486,3665,3716,12655,17567,6331,9169,5497,1367,726,44.4,47.0
"2011","Bishop Auckland","E14000569","Total",87143,4761,2674,1623,4947,1036,2082,2207,4881,4727,15764,19112,6708,8941,5545,1427,708,42.1,44.0
"2011","Blaydon","E14000574","Total",88281,4901,2681,1689,4966,1086,2065,1936,4545,4907,17010,18715,6289,9456,5957,1453,625,42.2,43.0
"2011","Blyth Valley","E14000575","Total",82174,4566,2830,1730,4699,1060,2064,2051,4627,4757,15887,17534,6300,7961,4464,1113,531,40.9,42.0
"2011","City of Durham","E14000641","Total",94375,4376,2537,1607,4381,870,1907,5021,11445,6143,16647,17865,6168,8700,4943,1186,579,39.4,38.0
"2011","Darlington","E14000658","Total",91417,5834,3292,1979,5433,1133,2368,2107,5460,6046,18135,18348,5574,8152,5341,1493,722,39.8,40.0
"2011","Easington","E14000677","Total",82769,4942,2671,1651,4682,1041,2085,2210,5331,5294,15585,17574,5069,7908,5171,1079,476,40.4,41.0
"2011","Gateshead","E14000709","Total",94506,5902,3107,1915,4934,1137,2314,2608,6615,8011,19982,18106,5193,7641,5219,1203,619,38.8,37.0
"2011","Hartlepool","E14000733","Total",92028,5698,3202,1990,5653,1257,2570,2451,5955,5622,16869,19326,5837,8174,5568,1323,533,39.8,40.0
"2011","Hexham","E14000746","Total",76236,3425,2346,1618,4314,930,1904,1569,3442,3104,12445,18176,6195,8984,5628,1391,765,44.3,47.0
"2011","Houghton and Sunderland South","E14000754","Total",87002,4775,2732,1771,4977,1078,2169,2161,5171,4930,16609,18597,5988,8666,5597,1255,526,41.3,42.0
"2011","Jarrow","E14000765","Total",83260,4720,2599,1694,4743,1089,2044,2036,4909,4999,15739,18328,5515,7561,5423,1355,506,41.1,42.0
"2011","Middlesbrough","E14000819","Total",93865,6720,3569,2115,5701,1237,2545,3451,9044,7141,17453,17215,4592,6810,4707,1073,492,36.6,34.0
"2011","Middlesbrough South and East Cleveland","E14000820","Total",92826,5368,3135,1955,5497,1130,2444,2183,5264,5163,16708,19977,6764,9347,5713,1413,765,41.3,43.0
"2011","Newcastle upon Tyne Central","E14000831","Total",93693,6739,3404,2123,5405,1025,2282,4660,9522,8470,18865,15578,4200,5689,4055,1028,648,35.4,32.0
"2011","Newcastle upon Tyne East","E14000832","Total",95589,4196,2129,1425,3825,806,1689,6384,21104,8782,15554,14728,4076,5452,3827,1055,557,34.9,28.0
"2011","Newcastle upon Tyne North","E14000833","Total",90895,5587,3001,1953,5258,1098,2185,2267,5386,5696,17553,18646,5857,8239,5975,1495,699,40.6,41.0
"2011","North Durham","E14000840","Total",86883,4991,2756,1748,4776,1037,2124,2063,4902,5162,16808,18763,5971,8910,5144,1167,561,41.2,42.0
"2011","North Tyneside","E14000853","Total",102042,6133,3328,1932,5367,1221,2319,2316,5988,7233,21238,21671,6524,8706,5964,1411,691,40.3,40.0
"2011","North West Durham","E14000856","Total",92119,5354,2812,1771,5089,1065,2092,2050,4739,5373,18185,19823,6610,9368,5569,1491,728,41.7,43.0
"2011","Redcar","E14000891","Total",86898,4896,2836,1764,5090,1156,2366,2387,5474,5089,15373,18158,5686,9094,5694,1305,530,41.1,42.0
"2011","Sedgefield","E14000915","Total",84100,4895,2866,1746,4785,1030,2170,1977,4468,4490,15943,18275,5980,8621,5094,1218,542,41.3,43.0
