"date","geography","geography code","Rural Urban","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","Berwick-upon-Tweed","E14000554","Total",63866,15354,8569,10599,2923,7205,16547,2669,1461,1240,544,83,597
"2011","Bishop Auckland","E14000569","Total",72102,21622,9695,11612,3245,8745,14414,2769,1779,1845,658,122,1046
"2011","Blaydon","E14000574","Total",72958,18535,10316,11813,4108,8577,16755,2854,1797,2104,978,179,932
"2011","Blyth Valley","E14000575","Total",67289,17260,10664,11868,3691,8797,12565,2444,1699,1834,835,172,818
"2011","City of Durham","E14000641","Total",80604,16489,8481,10664,2423,15920,23618,3009,1677,13496,2701,472,10305
"2011","Darlington","E14000658","Total",73746,19208,10126,11771,3760,9395,16201,3285,2016,1979,860,171,942
"2011","Easington","E14000677","Total",67782,22719,10100,11308,2705,7916,10351,2683,1797,2203,776,179,1236
"2011","Gateshead","E14000709","Total",77511,23618,11115,11519,3531,8266,16073,3389,2041,3826,1174,272,2362
"2011","Hartlepool","E14000733","Total",74228,22758,10057,11992,4076,9276,13063,3006,2342,2376,864,289,1209
"2011","Hexham","E14000746","Total",63603,11867,7241,9749,2450,7160,22818,2318,1694,1621,659,90,859
"2011","Houghton and Sunderland South","E14000754","Total",71669,22009,11130,11860,3786,8337,11976,2571,1820,2331,923,206,1192
"2011","Jarrow","E14000765","Total",68415,18420,10047,11130,4466,8456,13448,2448,1756,2234,961,230,1030
"2011","Middlesbrough","E14000819","Total",74523,23605,10187,11037,2908,10004,12564,4218,2215,7062,1970,904,4176
"2011","Middlesbrough South and East Cleveland","E14000820","Total",75741,19955,9811,12259,4193,9615,16933,2975,2090,2347,987,231,1118
"2011","Newcastle upon Tyne Central","E14000831","Total",74997,19969,8791,9048,2057,10186,19961,4985,1990,11277,2449,1105,7694
"2011","Newcastle upon Tyne East","E14000832","Total",83208,16379,7418,9028,2406,21057,23396,3524,1464,22992,6025,2002,14944
"2011","Newcastle upon Tyne North","E14000833","Total",73998,18537,10031,10979,3465,8416,19716,2854,1906,3461,1262,251,1934
"2011","North Durham","E14000840","Total",71575,19551,10598,12322,3275,8761,14448,2620,1812,2166,891,190,1069
"2011","North Tyneside","E14000853","Total",84061,22391,13031,13729,4737,10035,16945,3193,1987,2635,1199,243,1174
"2011","North West Durham","E14000856","Total",76028,19691,10137,12416,3420,9419,17892,3053,1826,2023,814,158,1044
"2011","Redcar","E14000891","Total",71156,20992,10002,11820,4139,9495,11988,2720,2038,2290,876,237,1168
"2011","Sedgefield","E14000915","Total",68778,18847,9340,11380,3216,8684,14569,2742,1886,1687,700,138,836
"2011","South Shields","E14000944","Total",68032,19808,9913,10945,3931,7991,12647,2797,1754,2710,1105,294,1300
"2011","Stockton North","E14000970","Total",74123,20711,11175,12510,3969,9390,13447,2921,2161,2900,1008,260,1622
"2011","Stockton South","E14000971","Total",80380,16017,10290,13539,4116,11562,21803,3053,2327,3852,1371,332,2140
"2011","Sunderland Central","E14000982","Total",83594,22979,11491,12631,4056,10672,17883,3882,2005,6977,2204,857,3910
"2011","Tynemouth","E14001006","Total",81027,16766,10152,12807,3948,9588,24789,2977,2041,2561,1210,176,1171
"2011","Wansbeck","E14001014","Total",67404,18103,9317,11147,2759,8488,15094,2496,1731,1676,711,147,807
"2011","Washington and Sunderland West","E14001020","Total",72051,21048,12627,12444,3569,8280,11478,2605,1879,2350,960,253,1130
"2011","Altrincham and Sale West","E14000532","Total",77136,11716,8545,11753,2404,8770,31121,2827,2377,2389,1030,161,1191
"2011","Ashton-under-Lyne","E14000537","Total",72789,21571,12039,12485,3099,8564,11228,3803,2125,2571,978,258,1325
"2011","Barrow and Furness","E14000543","Total",73539,17614,9752,11263,6236,9775,16390,2509,1938,1497,666,139,687
"2011","Birkenhead","E14000559","Total",71049,19734,10395,12567,2841,8537,14163,2812,2082,2422,869,264,1263
"2011","Blackburn","E14000570","Total",80817,24921,11648,11855,2946,8668,14654,6125,2928,4195,1346,504,2329
"2011","Blackley and Broughton","E14000571","Total",83834,26689,11418,11634,1625,8550,16590,7328,2627,6248,2171,675,3373
"2011","Blackpool North and Cleveleys","E14000572","Total",69191,20527,10260,11932,3114,8189,12179,2990,1755,2091,987,211,883
"2011","Blackpool South","E14000573","Total",66578,21329,10507,11370,2786,7596,9716,3274,1708,2311,997,259,1045
"2011","Bolton North East","E14000578","Total",76107,20487,10866,11958,3205,9058,16534,3999,2252,3362,1212,362,1781
"2011","Bolton South East","E14000579","Total",78682,24271,11844,12448,3122,9119,12887,4991,2513,3984,1393,460,2115
"2011","Bolton West","E14000580","Total",76870,16996,10406,12332,3605,9579,21020,2932,2179,2413,1063,212,1124
