"Election","Party","environment","constituency","Election.Date","Year.Before.Election","yearly_avg_tavg","yearly_avg_tmin","yearly_avg_tmax","yearly_avg_prcp","yearly_avg_wspd","yearly_avg_pres","yearly_avg_tsun","election_year","full_elec_date","election","constituency_id","seats","country.region","electorate","con_votes","con_share","lib_votes","lib_share","lab_votes","lab_share","natSW_votes","natSW_share","oth_votes","oth_share","total_votes","turnout","boundary_set","X","Geography_Code","Date","Rural_Urban","Median_Age","All_Residents","All_Qualifications","No_Qualifications","Level_1_Qualifications","Level_2_Qualifications","Apprenticeship","Level_3_Qualifications","Level_4_and_Above","Other_Qualifications","School_Age_16_to_17","School_Age_18_and_Over","Full_Time_Students_Employed","Full_Time_Students_Unemployed","Full_Time_Students_Inactive","NS_SeC_All","Higher_Managerial","Lower_Managerial","Intermediate_Occupations","Small_Employers","Lower_Supervisory","Semi_Routine","Routine_Occupations","Never_Worked_Unemployed","Never_Worked","Long_Term_Unemployed","Full_Time_Students_NS_SeC","Total_Rural_Population","Urban_City_Town_Population","Urban_Minor_Conurbation_Population","Urban_Major_Conurbation_Population","Total_Urban_Population","Total_Population","Hub_Towns_Population","Rural_Hub_Towns_Population","Rural_Population_Percentage","RUC11CD","RUC11","Classification"
"2010 General Election"," Liberal Democrats",0,"aldridge-brownhills","2010-05-06","2009-05-06",9.275,5.275,13.2166666666667,51.6666666666667,12.425,1013.025,6970,2010,"2010 General Election","2010","E14000531",1,"West Midlands",58909,22913,0.593,6833,0.177,7647,0.198,NA,NA,1241,0.032,38634,0.656,"2010-2017","","E14000531",2011,"Total",44,76974,63354,18660,8869,10120,2429,7400,13006,2870,1711,1738,756,149,820,55758,4664,11316,8040,5218,4357,8875,7060,2792,1676,1116,3436,2721,338,0,73915,74253,76974,0,2721,3.53,6,"Urban with Major Conurbation","Predominantly Urban"
"2015 General Election"," Conservative Party",0,"aldridge-brownhills","2015-05-07","2014-05-07",9.275,5.275,13.2166666666667,51.6666666666667,12.425,1013.025,6970,2015,"2015 General Election","2015","E14000531",1,"West Midlands",60215,20558,0.52,1330,0.034,8835,0.224,NA,NA,8774,0.222,39497,0.656,"2010-2017","","E14000531",2011,"Total",44,76974,63354,18660,8869,10120,2429,7400,13006,2870,1711,1738,756,149,820,55758,4664,11316,8040,5218,4357,8875,7060,2792,1676,1116,3436,2721,338,0,73915,74253,76974,0,2721,3.53,6,"Urban with Major Conurbation","Predominantly Urban"
"2015 General Election"," Liberal Democrats",5,"aldridge-brownhills","2015-05-07","2014-05-07",9.275,5.275,13.2166666666667,51.6666666666667,12.425,1013.025,6970,2015,"2015 General Election","2015","E14000531",1,"West Midlands",60215,20558,0.52,1330,0.034,8835,0.224,NA,NA,8774,0.222,39497,0.656,"2010-2017","","E14000531",2011,"Total",44,76974,63354,18660,8869,10120,2429,7400,13006,2870,1711,1738,756,149,820,55758,4664,11316,8040,5218,4357,8875,7060,2792,1676,1116,3436,2721,338,0,73915,74253,76974,0,2721,3.53,6,"Urban with Major Conurbation","Predominantly Urban"
"2010 General Election"," Labour Party",0,"arundel and south downs","2010-05-06","2009-05-06",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2010,"2010 General Election","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2010 General Election"," Liberal Democrats",0,"arundel and south downs","2010-05-06","2009-05-06",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2010,"2010 General Election","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2010 General Election"," Conservative Party",0,"arundel and south downs","2010-05-06","2009-05-06",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2010,"2010 General Election","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2015 General Election"," UK Independence Party",1,"arundel and south downs","2015-05-07","2014-05-07",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2015,"2015 General Election","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2015 General Election"," UK Independence Party",0,"arundel and south downs","2015-05-07","2014-05-07",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2015,"2015 General Election","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2015 General Election"," Liberal Democrats",3,"arundel and south downs","2015-05-07","2014-05-07",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2015,"2015 General Election","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2015 General Election"," Conservative Party",8,"arundel and south downs","2015-05-07","2014-05-07",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2015,"2015 General Election","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
