Election,Party,Constituency,Mentions,Issues Covered,Leaflet.Number
 2010 General Election, Conservative Party, Filton and Bradley Stoke," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Environment, Governance, Health, Immigration",10013
 2010 General Election, Conservative Party, Liverpool Riverside," Candidate, Other party/leader/candidate"," Economy, Education, Environment",10031
 2010 General Election, Conservative Party, Torridge and West Devon," Candidate, Other party/leader/candidate, Party leader, Tactical situation"," Economy, Education, Environment, Governance, Health",10037
 2010 General Election, Conservative Party, Liverpool Riverside," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Governance, Health",10040
 2010 General Election, Conservative Party, Kingston and Surbiton," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Governance, Health, Social welfare",10048
 2010 General Election, Conservative Party, Southport," Candidate, Other party/leader/candidate"," Brexit/Europe, Economy, Education, Health, Immigration, Social welfare",10050
 2010 General Election, Conservative Party, South Ribble," Candidate, Other party/leader/candidate, Party leader"," Economy, Health, Social welfare",10067
 2010 General Election, Conservative Party, Kingston and Surbiton," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Health",10070
 2010 General Election, Conservative Party, Rushcliffe," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Governance, Health",10097
 2010 General Election, Conservative Party, Solihull," Candidate, Other party/leader/candidate, Party leader"," Economy, Environment, Health, Social welfare",10100
 2010 General Election, Conservative Party, Isle of Wight, Candidate," Economy, Environment, Social welfare",10132
 2010 General Election, Conservative Party, Isle of Wight," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Social welfare",10144
 2010 General Election, Conservative Party, Wyre Forest," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Governance, Health, Social welfare",10153
 2010 General Election, Conservative Party, Coventry North West, Candidate," Education, Environment, Governance, Health, Social welfare",10167
 2010 General Election, Conservative Party, Dartford," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Health, Social welfare",10177
 2010 General Election, Conservative Party, Lichfield, Candidate," Education, Environment, Health",10191
 2010 General Election, Conservative Party, Calder Valley," Candidate, Other party/leader/candidate, Party leader"," Economy, Health, Social welfare",10194
 2010 General Election, Conservative Party, Westminster North," Candidate, Other party/leader/candidate, Party leader"," Economy, Education, Governance, Health",10200
