"constituency","Median_Age","Party","election","Classification","Total_Rural_Population","Total_Urban_Population","Total_Population","Higher_Managerial","Lower_Managerial","Intermediate_Occupations","Small_Employers","Lower_Supervisory","Semi_Routine","Routine_Occupations","Never_Worked","Long_Term_Unemployed","Full_Time_Students_Employed","Full_Time_Students_Unemployed","Full_Time_Students_Inactive","overall_weather_std","lib_share","lab_share","oth_share","con_share","mean_environmental_mentions","Total_Students_Count"
"aldridge-brownhills",44," Liberal Democrats","2010","Predominantly Urban",2721,74253,76974,4664,11316,8040,5218,4357,8875,7060,1676,1116,756,149,820,14.2337217207832,0.177,0.198,0.032,0.593,1.66666666666667,1725
"aldridge-brownhills",44," Conservative Party","2015","Predominantly Urban",2721,74253,76974,4664,11316,8040,5218,4357,8875,7060,1676,1116,756,149,820,14.2337217207832,0.034,0.224,0.222,0.52,1.66666666666667,1725
"aldridge-brownhills",44," Liberal Democrats","2015","Predominantly Urban",2721,74253,76974,4664,11316,8040,5218,4357,8875,7060,1676,1116,756,149,820,14.2337217207832,0.034,0.224,0.222,0.52,1.66666666666667,1725
"arundel and south downs",47," Labour Party","2010","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Liberal Democrats","2010","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Conservative Party","2010","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," UK Independence Party","2015","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Liberal Democrats","2015","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Conservative Party","2015","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Labour Party","2015","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Green Party","2015","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Green Party","2017","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," UK Independence Party","2017","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Conservative Party","2019","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Liberal Democrats","2019","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Labour Party","2019","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"arundel and south downs",47," Green Party","2019","Predominantly Rural",77072,20195,97267,10155,18168,8990,10076,3975,7563,4742,1028,589,809,86,809,16.9138138465429,NA,NA,NA,NA,5.4375,1704
"ashfield",41," Conservative Party","2015","Predominantly Urban",905,101009,101914,4366,11827,8784,6345,7272,13647,14904,2665,1414,783,182,988,14.271121036866,0.148,0.41,0.217,0.224,2.875,1953
"ashfield",41," Liberal Democrats","2015","Predominantly Urban",905,101009,101914,4366,11827,8784,6345,7272,13647,14904,2665,1414,783,182,988,14.271121036866,0.148,0.41,0.217,0.224,2.875,1953
"ashfield",41," UK Independence Party","2015","Predominantly Urban",905,101009,101914,4366,11827,8784,6345,7272,13647,14904,2665,1414,783,182,988,14.271121036866,0.148,0.41,0.217,0.224,2.875,1953
"ashfield",41," Labour Party","2015","Predominantly Urban",905,101009,101914,4366,11827,8784,6345,7272,13647,14904,2665,1414,783,182,988,14.271121036866,0.148,0.41,0.217,0.224,2.875,1953
"ashford",40," Liberal Democrats","2010","Urban with Significant Rural",38207,74733,112940,8111,17598,10749,9236,6465,11860,8412,2026,1081,1242,230,972,14.9188562969658,0.228,0.167,0.064,0.541,7.6,2444
"ashford",40," Green Party","2015","Urban with Significant Rural",38207,74733,112940,8111,17598,10749,9236,6465,11860,8412,2026,1081,1242,230,972,14.9188562969658,0.06,0.184,0.231,0.525,7.6,2444
"ashford",40," Liberal Democrats","2017","Urban with Significant Rural",38207,74733,112940,8111,17598,10749,9236,6465,11860,8412,2026,1081,1242,230,972,14.9188562969658,0.052,0.298,0.06,0.59,7.6,2444
"ashford",40," Labour Party","2017","Urban with Significant Rural",38207,74733,112940,8111,17598,10749,9236,6465,11860,8412,2026,1081,1242,230,972,14.9188562969658,0.052,0.298,0.06,0.59,7.6,2444
"banbury",38," Green Party","2010","Urban with Significant Rural",35431,82497,117928,9564,19578,11536,8208,6583,12797,9970,1737,863,1137,141,1125,16.213548907499,0.204,0.192,0.076,0.528,1.8,2403
"banbury",38," Conservative Party","2010","Urban with Significant Rural",35431,82497,117928,9564,19578,11536,8208,6583,12797,9970,1737,863,1137,141,1125,16.213548907499,0.204,0.192,0.076,0.528,1.8,2403
"banbury",38," Conservative Party","2017","Urban with Significant Rural",35431,82497,117928,9564,19578,11536,8208,6583,12797,9970,1737,863,1137,141,1125,16.213548907499,0.056,0.341,0.061,0.542,1.8,2403
"banbury",38," Labour Party","2017","Urban with Significant Rural",35431,82497,117928,9564,19578,11536,8208,6583,12797,9970,1737,863,1137,141,1125,16.213548907499,0.056,0.341,0.061,0.542,1.8,2403
"barking",31," Labour Party","2010","Predominantly Urban",0,122313,122313,4261,12607,10311,7865,5560,13029,10096,7541,2615,2375,968,3699,15.7493923642272,0.082,0.543,0.197,0.178,0,7042
"barking",31," Conservative Party","2010","Predominantly Urban",0,122313,122313,4261,12607,10311,7865,5560,13029,10096,7541,2615,2375,968,3699,15.7493923642272,0.082,0.543,0.197,0.178,0,7042
"beckenham",42," Conservative Party","2010","Predominantly Urban",134,86877,87011,9967,17609,10847,6737,2718,5452,2870,1179,781,795,134,1265,15.7493923642272,0.206,0.145,0.071,0.579,0,2194
"beckenham",42," Labour Party","2010","Predominantly Urban",134,86877,87011,9967,17609,10847,6737,2718,5452,2870,1179,781,795,134,1265,15.7493923642272,0.206,0.145,0.071,0.579,0,2194
"beckenham",42," Liberal Democrats","2010","Predominantly Urban",134,86877,87011,9967,17609,10847,6737,2718,5452,2870,1179,781,795,134,1265,15.7493923642272,0.206,0.145,0.071,0.579,0,2194
"beckenham",42," UK Independence Party","2010","Predominantly Urban",134,86877,87011,9967,17609,10847,6737,2718,5452,2870,1179,781,795,134,1265,15.7493923642272,0.206,0.145,0.071,0.579,0,2194
"bermondsey and old southwark",30," Liberal Democrats","2010","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Labour Party","2010","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Conservative Party","2010","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Conservative Party","2015","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Labour Party","2015","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Liberal Democrats","2015","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," UK Independence Party","2015","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Green Party","2015","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Labour Party","2017","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Liberal Democrats","2017","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Green Party","2017","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bermondsey and old southwark",30," Conservative Party","2017","Predominantly Urban",0,126522,126522,17157,23135,9674,6282,5102,9447,7597,5310,2284,3965,1213,9984,4.45981251218765,NA,NA,NA,NA,1,15162
"bexhill and battle",48," Liberal Democrats","2010","Predominantly Rural",54479,46248,100727,7150,16339,9641,10792,4348,9563,5398,1775,845,756,101,955,15.2533464440549,NA,NA,NA,NA,1.25,1812
"bexhill and battle",48," Conservative Party","2010","Predominantly Rural",54479,46248,100727,7150,16339,9641,10792,4348,9563,5398,1775,845,756,101,955,15.2533464440549,NA,NA,NA,NA,1.25,1812
"bexhill and battle",48," Labour Party","2010","Predominantly Rural",54479,46248,100727,7150,16339,9641,10792,4348,9563,5398,1775,845,756,101,955,15.2533464440549,NA,NA,NA,NA,1.25,1812
"bexhill and battle",48," Conservative Party","2017","Predominantly Rural",54479,46248,100727,7150,16339,9641,10792,4348,9563,5398,1775,845,756,101,955,15.2533464440549,NA,NA,NA,NA,1.25,1812
"altrincham and sale west",41," Conservative Party","2010","Predominantly Urban",824,95767,96591,12971,18063,9736,6495,3446,7027,4218,1485,814,1030,161,1191,13.2666502836162,NA,NA,NA,NA,2.3,2382
"altrincham and sale west",41," Liberal Democrats","2010","Predominantly Urban",824,95767,96591,12971,18063,9736,6495,3446,7027,4218,1485,814,1030,161,1191,13.2666502836162,NA,NA,NA,NA,2.3,2382
"altrincham and sale west",41," Labour Party","2010","Predominantly Urban",824,95767,96591,12971,18063,9736,6495,3446,7027,4218,1485,814,1030,161,1191,13.2666502836162,NA,NA,NA,NA,2.3,2382
"altrincham and sale west",41," Conservative Party","2017","Predominantly Urban",824,95767,96591,12971,18063,9736,6495,3446,7027,4218,1485,814,1030,161,1191,13.2666502836162,NA,NA,NA,NA,2.3,2382
"altrincham and sale west",41," Liberal Democrats","2019","Predominantly Urban",824,95767,96591,12971,18063,9736,6495,3446,7027,4218,1485,814,1030,161,1191,13.2666502836162,NA,NA,NA,NA,2.3,2382
"altrincham and sale west",41," Labour Party","2019","Predominantly Urban",824,95767,96591,12971,18063,9736,6495,3446,7027,4218,1485,814,1030,161,1191,13.2666502836162,NA,NA,NA,NA,2.3,2382
"amber valley",42," Labour Party","2010","Predominantly Urban",15483,72400,87883,4904,11692,7595,5980,6262,11247,11395,1735,1154,724,119,792,14.074033727725,0.144,0.374,0.095,0.386,2.28571428571429,1635
"amber valley",42," Conservative Party","2010","Predominantly Urban",15483,72400,87883,4904,11692,7595,5980,6262,11247,11395,1735,1154,724,119,792,14.074033727725,0.144,0.374,0.095,0.386,2.28571428571429,1635
"amber valley",42," Labour Party","2019","Predominantly Urban",15483,72400,87883,4904,11692,7595,5980,6262,11247,11395,1735,1154,724,119,792,14.074033727725,0.063,0.268,0.03,0.639,2.28571428571429,1635
"aylesbury",38," Liberal Democrats","2010","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.284,0.126,0.068,0.522,3.54545454545455,2304
"aylesbury",38," Conservative Party","2010","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.284,0.126,0.068,0.522,3.54545454545455,2304
"aylesbury",38," Labour Party","2010","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.284,0.126,0.068,0.522,3.54545454545455,2304
"aylesbury",38," UK Independence Party","2010","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.284,0.126,0.068,0.522,3.54545454545455,2304
"aylesbury",38," Labour Party","2015","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.106,0.151,0.236,0.507,3.54545454545455,2304
