"date","geography","geography code","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: L15 Full-time students; measures: Value"
"2011","Berwick-upon-Tweed","E14000554",28289,1638,470,1168,6701,4562,2514,1410,5973,2929,1132,757,375,1430
"2011","Bishop Auckland","E14000569",32588,1415,430,985,6341,5302,1816,1622,7559,4585,2054,1554,500,1894
"2011","Blaydon","E14000574",33393,1939,518,1421,7521,7161,1324,1374,7176,3319,1465,1018,447,2114
"2011","Blyth Valley","E14000575",31556,1256,361,895,6476,7130,1137,1439,6824,3658,1753,1255,498,1883
"2011","City of Durham","E14000641",36874,2637,468,2169,7738,5649,1335,1308,5469,3583,1553,1166,387,7602
"2011","Darlington","E14000658",33574,1661,420,1241,6902,6769,1383,1445,7319,3746,2281,1620,661,2068
"2011","Easington","E14000677",31032,1038,353,685,5303,5637,1070,1593,7006,4981,2347,1811,536,2057
"2011","Gateshead","E14000709",35057,1934,399,1535,6374,6191,1060,1573,7273,5005,2770,2125,645,2877
"2011","Hartlepool","E14000733",34123,1182,392,790,6309,5902,1238,1444,7853,4607,3126,2292,834,2462
"2011","Hexham","E14000746",28534,2614,571,2043,8100,5000,2455,1126,4679,1960,857,597,260,1743
"2011","Houghton and Sunderland South","E14000754",33206,1287,404,883,5920,7172,1117,1467,7408,4390,2263,1711,552,2182
"2011","Jarrow","E14000765",31466,1404,421,983,6240,6715,1052,1346,6641,3863,2070,1470,600,2135
"2011","Middlesbrough","E14000819",34047,984,258,726,4993,4835,891,1272,7268,4659,4959,4079,880,4186
"2011","Middlesbrough South and East Cleveland","E14000820",34780,1523,404,1119,7482,6262,1497,1517,7679,3941,2526,1889,637,2353
"2011","Newcastle upon Tyne Central","E14000831",33503,2191,324,1867,5301,4328,1009,1091,5547,3700,4478,3872,606,5858
"2011","Newcastle upon Tyne East","E14000832",37604,2941,366,2575,5811,4584,930,999,4794,3350,2384,1900,484,11811
"2011","Newcastle upon Tyne North","E14000833",33775,2631,511,2120,7341,6726,1269,1463,6594,3192,1910,1439,471,2649
"2011","North Durham","E14000840",32923,1593,445,1148,6674,6617,1353,1525,7163,4019,1892,1395,497,2087
"2011","North Tyneside","E14000853",38910,1980,460,1520,7817,8806,1201,1664,8108,4576,2291,1615,676,2467
"2011","North West Durham","E14000856",34484,1839,539,1300,7858,6148,1828,1553,7539,3773,1905,1434,471,2041
"2011","Redcar","E14000891",32910,1059,363,696,6074,5923,1173,1518,7920,4233,2754,2053,701,2256
"2011","Sedgefield","E14000915",31575,1513,480,1033,6570,5811,1511,1483,6750,4210,1852,1382,470,1875
"2011","South Shields","E14000944",30740,1100,295,805,5483,5728,1115,1373,6815,4083,2875,2122,753,2168
"2011","Stockton North","E14000970",33918,1237,354,883,6209,6142,1203,1591,7702,4482,2853,2130,723,2499
