"date","geography","geography code","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: L15 Full-time students; measures: Value"
"2011","Berwick-upon-Tweed","E14000554",27987,3288,936,2352,5099,1709,4806,3214,3378,4093,1145,669,476,1255
"2011","Bishop Auckland","E14000569",31834,2793,884,1909,4888,1759,4208,3945,4244,6328,1958,1280,678,1711
"2011","Blaydon","E14000574",31530,3553,883,2670,6053,2493,3277,3915,3961,5138,1368,781,587,1772
"2011","Blyth Valley","E14000575",29625,2785,742,2043,5348,2737,2779,3852,3755,5183,1545,825,720,1641
"2011","City of Durham","E14000641",37022,4715,960,3755,6134,2363,2884,3281,3454,5091,1547,975,572,7553
"2011","Darlington","E14000658",32616,3399,817,2582,5780,2785,3194,3669,4198,5715,1955,1100,855,1921
"2011","Easington","E14000677",30024,1880,563,1317,3937,2143,2571,4192,4339,7016,2015,1289,726,1931
"2011","Gateshead","E14000709",35413,3164,604,2560,5518,2694,2770,4005,5026,6572,2692,1651,1041,2972
"2011","Hartlepool","E14000733",32681,2450,662,1788,4964,2087,3080,4512,4128,6425,2793,1538,1255,2242
"2011","Hexham","E14000746",27285,5176,1217,3959,5888,1450,4797,2621,2367,2685,742,423,319,1559
"2011","Houghton and Sunderland South","E14000754",31085,2280,610,1670,4713,2538,3173,4063,4166,6249,1944,1159,785,1959
"2011","Jarrow","E14000765",29665,2735,646,2089,4802,2410,2589,3866,4010,5724,1687,905,782,1842
"2011","Middlesbrough","E14000819",34204,1783,348,1435,3955,2066,2864,3709,4722,6377,3649,2214,1435,5079
"2011","Middlesbrough South and East Cleveland","E14000820",33070,3480,866,2614,5772,2112,3260,5019,3755,5458,2141,1125,1016,2073
"2011","Newcastle upon Tyne Central","E14000831",35763,3594,448,3146,4530,2127,3209,2923,3953,5010,3037,2006,1031,7380
"2011","Newcastle upon Tyne East","E14000832",40165,4292,586,3706,5390,2501,2425,2592,3445,4460,2436,1522,914,12624
"2011","Newcastle upon Tyne North","E14000833",32054,4401,800,3601,5913,2570,3301,3378,3649,4572,1566,953,613,2704
"2011","North Durham","E14000840",31780,3085,888,2197,5405,2441,3122,3980,4178,5976,1718,975,743,1875
"2011","North Tyneside","E14000853",37085,3421,713,2708,6432,3658,3352,4604,4982,6306,2194,1087,1107,2136
"2011","North West Durham","E14000856",33756,3360,979,2381,6017,2216,4240,3998,4349,6145,1630,953,677,1801
"2011","Redcar","E14000891",30717,2291,642,1649,4668,1947,2516,5124,3778,6021,2309,1216,1093,2063
"2011","Sedgefield","E14000915",30349,3107,916,2191,5236,1942,3262,3844,4008,5800,1465,901,564,1685
"2011","South Shields","E14000944",29796,2373,580,1793,4519,2197,2616,3895,3968,5827,2116,1187,929,2285
"2011","Stockton North","E14000970",33194,2551,644,1907,5101,2165,2945,4437,4250,6405,2788,1543,1245,2552
"2011","Stockton South","E14000971",36213,4883,1198,3685,7590,2779,3452,4434,3602,4715,1724,918,806,3034
"2011","Sunderland Central","E14000982",37576,2832,629,2203,5720,2981,3374,4081,4629,6508,2843,1747,1096,4608
"2011","Tynemouth","E14001006",34741,5382,1088,4294,7645,3169,3577,3466,3679,4112,1504,832,672,2207
"2011","Wansbeck","E14001014",29296,2924,776,2148,5218,2412,2873,3696,3599,5063,1854,1078,776,1657
"2011","Washington and Sunderland West","E14001020",31863,2396,708,1688,4640,2539,2900,4043,4731,6638,1987,1123,864,1989
"2011","Altrincham and Sale West","E14000532",33980,8333,1703,6630,8106,2482,4375,2448,2476,2407,1011,522,489,2342
"2011","Ashton-under-Lyne","E14000537",32834,2356,615,1741,4645,2699,4189,4031,4853,5943,1846,1017,829,2272
"2011","Barrow and Furness","E14000543",32986,4069,1061,3008,5801,1921,3569,4956,3851,5738,1442,861,581,1639
"2011","Birkenhead","E14000559",31343,2632,556,2076,4809,2355,3244,3661,4494,5207,2820,1657,1163,2121
"2011","Blackburn","E14000570",37668,3018,684,2334,4685,2652,4374,4061,5665,6786,2786,1689,1097,3641
"2011","Blackley and Broughton","E14000571",39695,2669,450,2219,4943,2944,4269,3503,5767,6742,4315,3063,1252,4543
"2011","Blackpool North and Cleveleys","E14000572",29763,2344,541,1803,4836,2476,4822,3504,3759,4509,1636,844,792,1877
"2011","Blackpool South","E14000573",29917,1734,389,1345,4321,2054,5149,3457,4101,5183,2090,1146,944,1828
"2011","Bolton North East","E14000578",34435,3442,802,2640,5721,2656,4495,3225,4465,5515,2112,1229,883,2804
"2011","Bolton South East","E14000579",36141,2591,587,2004,4634,2627,4722,3822,5265,6670,2493,1465,1028,3317
"2011","Bolton West","E14000580",34599,4990,1187,3803,6849,2557,4565,3588,3761,4690,1354,740,614,2245
"2011","Bootle","E14000581",35005,2272,505,1767,5025,3498,3884,3572,4907,6003,3149,1790,1359,2695
"2011","Burnley","E14000609",31390,2639,753,1886,4688,1985,3811,3924,4671,5852,1797,1040,757,2023
"2011","Bury North","E14000611",31533,4174,1095,3079,6053,2514,4181,3125,3321,4395,1532,937,595,2238
"2011","Bury South","E14000612",34688,4370,908,3462,6822,2945,4766,3420,3779,4445,1721,980,741,2420
"2011","Carlisle","E14000620",31321,2805,744,2061,5013,2084,3429,4164,4811,5786,1267,692,575,1962
"2011","Cheadle","E14000627",31809,7078,1401,5677,7647,2526,4406,2369,2354,2044,819,409,410,2566
"2011","Chorley","E14000637",35031,5037,1219,3818,7214,2479,4557,3908,3661,5096,1240,674,566,1839
"2011","City of Chester","E14000640",34078,5948,1246,4702,7238,2259,3549,3633,3429,3531,1216,659,557,3275
"2011","Congleton","E14000646",33565,6295,1440,4855,7487,1913,4511,3493,2965,3786,956,439,517,2159
"2011","Copeland","E14000647",30611,4022,1055,2967,5146,1510,3564,5030,3688,4923,1324,828,496,1404
"2011","Crewe and Nantwich","E14000653",39238,4957,1220,3737,7154,2369,3890,5309,4961,5953,1430,713,717,3215
"2011","Denton and Reddish","E14000661",31122,2670,686,1984,4829,2773,3969,4024,4388,5156,1435,758,677,1878
"2011","Eddisbury","E14000686",30741,5398,1491,3907,6328,1567,4955,3154,2873,3598,913,506,407,1955
"2011","Ellesmere Port and Neston","E14000688",31237,3949,1013,2936,5754,1842,3193,4865,4021,4403,1191,615,576,2019
"2011","Fylde","E14000706",29253,5605,1224,4381,6237,2177,4333,2912,2592,2746,965,582,383,1686
"2011","Garston and Halewood","E14000708",34517,3374,652,2722,5650,2772,3619,3847,4795,5037,2799,1737,1062,2624
"2011","Halton","E14000725",34582,2912,777,2135,5367,2485,3453,5146,4677,6423,1955,1136,819,2164
"2011","Hazel Grove","E14000738",28045,4623,1094,3529,5924,2371,4059,2828,2707,2923,983,510,473,1627
"2011","Heywood and Middleton","E14000747",37173,3636,921,2715,5901,2649,4970,4101,4412,6936,2046,1129,917,2522
"2011","Hyndburn","E14000758",33307,2849,863,1986,4946,2069,4636,4277,4505,6017,1727,1061,666,2281
"2011","Knowsley","E14000775",35610,2097,491,1606,4593,2774,4080,4040,5368,6492,3449,2222,1227,2717
"2011","Lancaster and Fleetwood","E14000776",32437,3582,604,2978,5078,1857,4044,3129,3156,3707,1264,786,478,6620
"2011","Leigh","E14000785",38281,3790,994,2796,6583,2896,5047,4654,4664,6762,1830,962,868,2055
"2011","Liverpool, Riverside","E14000793",50035,5378,672,4706,7307,3100,3305,2996,4315,4592,4294,2829,1465,14748
"2011","Liverpool, Walton","E14000794",34241,1452,318,1134,4069,2790,3484,3523,5372,6734,4167,2641,1526,2650
"2011","Liverpool, Wavertree","E14000795",34964,3310,554,2756,5707,2801,3462,2818,4232,4287,3213,1952,1261,5134
"2011","Liverpool, West Derby","E14000796",31703,2046,445,1601,4598,2607,3712,3183,4443,5266,3148,1945,1203,2700
"2011","Macclesfield","E14000802",33755,7099,1561,5538,7622,2033,5026,2971,2877,3119,979,532,447,2029
"2011","Makerfield","E14000805",36724,3371,898,2473,6190,2669,4489,4879,4583,6924,1590,929,661,2029
"2011","Manchester Central","E14000807",55844,5426,649,4777,7730,3850,3432,3613,5510,6050,4366,2966,1400,15867
"2011","Manchester, Gorton","E14000808",42502,3075,361,2714,4924,2776,4131,3030,4797,4808,3564,2442,1122,11397
"2011","Manchester, Withington","E14000809",39099,7567,837,6730,7788,3056,3244,2103,2899,2857,1775,1078,697,7810
"2011","Morecambe and Lunesdale","E14000825",30582,3131,681,2450,5664,1980,4367,3699,3651,4906,1349,798,551,1835
"2011","Oldham East and Saddleworth","E14000870",35704,3638,1018,2620,5936,2342,5163,3777,4316,5938,1999,1169,830,2595
"2011","Oldham West and Royton","E14000871",35777,2704,668,2036,4749,2528,4377,4358,4977,6689,2338,1344,994,3057
"2011","Pendle","E14000875",32035,3050,885,2165,4730,1734,4714,3619,4532,5959,1645,943,702,2052
"2011","Penrith and The Border","E14000877",30178,3412,867,2545,5377,1335,6890,3403,3296,4359,601,343,258,1505
"2011","Preston","E14000885",36386,2597,399,2198,4428,2722,3244,3559,4826,6489,2387,1407,980,6134
"2011","Ribble Valley","E14000894",34972,5348,1430,3918,7144,2311,5535,4085,3395,4293,847,531,316,2014
"2011","Rochdale","E14000897",38038,3002,770,2232,5460,2454,5374,3911,4819,6839,2943,1797,1146,3236
"2011","Rossendale and Darwen","E14000902",35516,4343,1314,3029,6405,2437,5173,3939,4058,5416,1560,855,705,2185
"2011","Salford and Eccles","E14000911",43777,4179,738,3441,7207,3743,3911,4198,5287,6573,2930,1897,1033,5749
"2011","Sefton Central","E14000916",29871,4649,1129,3520,6906,2855,4081,2753,2634,2662,1142,698,444,2189
"2011","South Ribble","E14000943",36552,5115,1268,3847,7534,2827,5289,4029,3724,4665,1260,824,436,2109
"2011","Southport","E14000958",31221,4083,950,3133,6498,2284,4914,2997,3461,3496,1437,803,634,2051
"2011","St Helens North","E14000962",35426,3373,830,2543,6035,2331,3791,4451,4456,6720,2060,1188,872,2209
"2011","St Helens South and Whiston","E14000963",36389,3319,818,2501,5905,2648,3709,4450,4917,6746,2351,1337,1014,2344
"2011","Stalybridge and Hyde","E14000967",33528,3384,930,2454,5497,2659,4431,4011,4561,5148,1793,945,848,2044
"2011","Stockport","E14000969",31002,4063,728,3335,5728,2745,3670,3085,3809,4170,1771,907,864,1961
"2011","Stretford and Urmston","E14000979",35055,4072,768,3304,6315,3232,4081,3557,4469,4594,1811,1001,810,2924
"2011","Tatton","E14000987",29982,7084,1727,5357,7092,1556,4591,2357,2205,2377,863,486,377,1857
"2011","Wallasey","E14001010",31698,2708,629,2079,5598,2789,3702,3780,4376,4408,2230,1307,923,2107
"2011","Warrington North","E14001017",35559,4365,985,3380,6474,2685,3693,3977,4060,6148,1740,984,756,2417
"2011","Warrington South","E14001018",39188,7337,1677,5660,8588,2824,4135,4103,3542,4843,1368,724,644,2448
"2011","Weaver Vale","E14001024",31750,4956,1250,3706,6388,1950,3456,3858,3404,4557,1282,689,593,1899
"2011","West Lancashire","E14001033",33835,4228,1028,3200,6036,2109,4731,3233,3780,4979,1440,747,693,3299
"2011","Westmorland and Lonsdale","E14001037",30131,4345,1045,3300,6153,1429,6080,3339,3080,3564,455,222,233,1686
"2011","Wigan","E14001039",37962,3524,884,2640,5969,2529,4417,4498,5362,7490,2056,1060,996,2117
"2011","Wirral South","E14001043",25230,4120,951,3169,5523,1959,2589,3134,2776,2576,948,580,368,1605
"2011","Wirral West","E14001044",23615,4153,864,3289,5371,1892,2954,2357,2183,2161,894,481,413,1650
"2011","Workington","E14001053",28787,2900,835,2065,4569,1420,3760,4343,3731,5516,1211,703,508,1337
